"address","balance"
"0x2f16cc0f50b1e7088177f71ab02985d4daaf7a03",201937000000000000000
"0xd4f756dadd2eb06bd14066a882f611636bf16129",0
"0xf59fd77afe562aa4e5b66da6e7a67b4651fac538",202000000000000000000
"0x1f81da5cc554766d3626dae05bdc6515522bb00f",200000000000000000000
"0x8f53518d306cd730652b166005aaaa1f1dd0c137",0
"0x18cb0c10e271fa2daca76fb03afe0fc02e83ab74",350000000000000000000
"0x9ea60ba8a75f47757f516fb1b8d48d848504a26c",280000000000000000000
"0x5ad003a9a02037b196362784f4a53e72198a0a47",200000000000000000000
"0xec9e1351c0dcc363b4d027f93ef196b023f0794f",1e+21
"0x95dc704ddaa7708f7c8ec220c3f19fdfd81ae708",50000000000000000000
"0xf60bddbf39c3e60a50b328230b851a211db134c7",0
"0xa55638362ceda5245fa87471ac80189e8d7ad5c4",0
"0x82d99d98115565d2a58e99fc53704cee56e3c0de",200000000000000000000
"0x71a93ff96b59b96d2caf474b9a79a51f5b043dc3",790000000000000000000
"0x43ffdc79fbcedf718a19ad7d7eb2a705696546e4",220000000000000000000
"0xfd5a044f5211b1054d6e18b9cb6ece538ec3057f",240000000000000000000
"0x8a9354835138d2367923622f27d6c377546175e0",200000000000000000000
"0x609723885766759aaf726c241afaa3fb82a3580a",212875571466022600000
"0xcc979952371ba7873983b3fadd38649496d206af",200000000000000000000
"0xd4bccbde6dc6c922edd96fa1bfa82f03454fbfd8",400000000000000000000
"0x7fd44298916ebcb7ffd80bc2b44c918e5333ec3d",580000000000000000000
"0xf2787ca2de0b2d20c6cc9bc1ef3519d7eeba47ae",200000000000000000000
"0xc285d754df88d0283adbee7027bdb38f3a38adb6",100000000000000000000
"0x81c831e3ed24d4b97585c1a371c7aabeba839bb4",100000000000000000000
"0xdba4fd71bcd12a9188a365fccc796c65381b49f1",500000000000000000000
"0x071b572c7d6b423973078ae08981d944961775f4",299937000000000000000
"0x056d01e62c5b2568517d3af63447076e1456998c",490540000000000000000
"0x1b3f224bf8fdb4c23fbd6056fe062ffd456b09d6",204000000000000000000
"0x91d7833bf076eb16d51f5bff598ad42f4e79bb51",200000000000000000000
"0x92a898d46f19719c38126a8a3c27867ae2cee596",300000000000000000000
"0xc24b1a1a4cde1c628202a345708653334d30f05f",268818432600000000000
"0x31e156678b8f96005f14f91676bef642c28ad06c",200000000000000000000
"0x8d12a197cb00d4747a1fe03395095ce2a5cc6819",1.1e+21
"0x74f9d4f1f58686fb8725c29f9ab2cdd2913dd1f0",798000000000000000000
"0x2c21e83a76b2dea9fb85885257eb1ac3f82da450",402000000000000000000
"0x34bd23da4689788dfa8e6521f979f5eaa3831b3e",205737000000000000000
"0xef3c3dfb36ae7c32f509ec1676659ff86ab3f394",200000000000000000000
"0x666d77e5b67ddb1f861b3485b70c60b5256a3aa8",215826523800000000000
"0xe9ebee76a902b6536c0bddf79ac4c4343e5bdbfb",300000000000000000000
"0x8038339ca5c71a11eb321986bf7acd1282da84d5",230000000000000000000
"0xad032694466f2b56b11e8258747af91bf72ed791",3e+21
"0xf697eeca8130513cc59b1a3ebcc098ba5c10d80c",202000000000000000000
"0x4ea5fb82a9ad7cae9bc4357ee0368eb73f9de17d",699800000000000000000
"0x00c5a971dafa5e8e2dcff0af9571e2dbe4f4a0bf",600000000000000000000
"0x2f2862e9818ca4ada4ae69e700e3a806236d997e",202070210240000000000
"0xc7075ed6bf05549ed8e0d6b11f58721040ab4d05",200000000000000000000
"0xc9dd260b16b9402e6244f34a8c52dfdcd6eb9113",1.41546e+21
"0xce6d2f7b55eb3066c14b4047b2017d7000697e14",200000000000000000000
"0x73aa55afb6f0258b2e8b723b7598eb3b3a8312ed",0
"0x76bf705e423ccc18f699f275c7bc2d506090acda",200000000000000000000
"0x68f521a871ddd406a57121bf7246c7574bc3cb62",40000000000000000000
"0x41bacae05437a3fe126933e57002ae3f129aa079",200000000000000000000
"0xcc8f79950bfe3d292608321351c4d45d497a7c6d",240000000000000000000
"0x63eed78361018f43cb46fa48a6122e004d963a2d",20000000000000000000
"0x3a02b24bf0bfc7b9c485eba503fd73e751ca0b00",80000000000000000000
"0x4062b2b12b354bf8f9398685a29e1f5e534f95a8",60000000000000000000
"0x286f0171bb5c940314c83c9cd9e355106a7de7e7",200000000000000000000
"0x33a96b5993f65e26ad4f51b3d3ccea513271b923",300000000000000000000
"0xce838139e92080e8e1266092bafb64d1e43dd139",2e+21
"0x133f9d96901e3727596660d32dbdcbcf57c03dbb",240000000000000000000
